name,min,max
4DCS.40HAD40CT681,0.00,430.00
4DCS.40HAD40CT682,0.00,430.00
4DCS.40HAD40CT683,0.00,430.00
4DCS.40HAD40CT684,0.00,430.00
4DCS.40HAD40CT685,0.00,430.00
4DCS.40HAD40CT686,0.00,430.00
4DCS.40HAD40CT687,0.00,430.00
4DCS.40HAH23CT601,0.00,550.00
4DCS.40HAH23CT602,0.00,550.00
4DCS.40HAH23CT603,0.00,550.00
4DCS.40HAH23CT604,0.00,550.00
4DCS.40HAH23CT605,0.00,550.00
4DCS.40HAH23CT606,0.00,550.00
4DCS.40HAH23CT607,0.00,550.00
4DCS.40HAH23CT608,0.00,550.00
4DCS.40HAH23CT609,0.00,550.00
4DCS.40HAH23CT610,0.00,550.00
4DCS.40HAH23CT611,0.00,550.00
4DCS.40HAH23CT612,0.00,550.00
4DCS.40HAH23CT613,0.00,550.00
4DCS.40HAH23CT614,0.00,550.00
4DCS.40HAH23CT615,0.00,550.00
4DCS.40HAH23CT616,0.00,550.00
4DCS.40HAH23CT617,0.00,550.00
4DCS.40HAH23CT618,0.00,550.00
4DCS.40HAH23CT619,0.00,550.00
4DCS.40HAH23CT620,0.00,550.00
4DCS.40HAH23CT621,0.00,550.00
4DCS.40HAH23CT622,0.00,550.00
4DCS.40HAH23CT623,0.00,550.00
4DCS.40HAH23CT624,0.00,550.00
4DCS.40HAH23CT625,0.00,550.00
4DCS.40HAH23CT626,0.00,550.00
4DCS.40HAH23CT627,0.00,550.00
4DCS.40HAH23CT628,0.00,550.00
4DCS.40HAH23CT629,0.00,550.00
4DCS.40HAH23CT630,0.00,550.00
4DCS.40HAH24CT601,0.00,580.00
4DCS.40HAH24CT602,0.00,580.00
4DCS.40HAH24CT603,0.00,580.00
